Regions,CowsPerPerson
NL-GR,0.18147540758632047
NL-FR,0.4659630941124851
NL-DR,0.21775045722414144
NL-OV,0.2253302428743006
NL-FL,0.0846964801904438
NL-GE,0.11717326755021472
NL-UT,0.06601316573574047
NL-NH,0.031252317936466115
NL-ZH,0.027672855852850443
NL-ZE,0.058997551686615884
NL-NB,0.08776696940140474
NL-LI,0.04593814167229086
