Regions,CowsPerFarm
Nederland,68.72547374000618
Groningen,95.89860465116278
Friesland,96.44598516607546
Drenthe,81.83424980361352
Overijssel,58.30149114631873
Flevoland,130.8409090909091
Gelderland,51.26010781671159
Utrecht,57.80197322057787
Noord-Holland,69.30566640063847
Zuid-Holland,61.58629283489097
Zeeland,75.29213483146067
Noord-Brabant,69.30485762144053
Limburg,68.32281205164993
